iter	Passed	Remaining
0	20	20032
1	40	20122
2	51	17138
3	70	17595
4	87	17335
5	105	17498
6	123	17497
7	141	17540
8	160	17710
9	177	17611
10	195	17603
11	214	17646
12	232	17625
13	254	17914
14	262	17219
15	277	17040
16	284	16437
17	293	16021
18	310	16052
19	330	16170
20	347	16212
21	371	16493
22	389	16525
23	406	16538
24	413	16141
25	433	16256
26	444	16021
27	463	16100
28	481	16127
29	500	16186
30	521	16300
31	541	16370
32	560	16416
33	577	16407
34	596	16444
35	615	16475
36	637	16580
37	651	16481
38	671	16553
39	690	16576
40	708	16578
41	726	16561
42	745	16601
43	763	16583
44	780	16563
45	798	16559
46	815	16539
47	833	16522
48	853	16560
49	871	16565
50	888	16538
51	907	16553
52	925	16533
53	942	16517
54	960	16501
55	977	16482
56	997	16502
57	1015	16495
58	1023	16318
59	1040	16296
60	1060	16322
61	1083	16397
62	1100	16363
63	1116	16333
64	1134	16315
65	1151	16296
66	1169	16280
67	1186	16264
68	1204	16251
69	1221	16233
70	1239	16216
71	1256	16199
72	1276	16205
73	1295	16217
74	1313	16199
75	1332	16205
76	1351	16196
77	1367	16168
78	1385	16147
79	1402	16129
80	1413	16037
81	1430	16016
82	1449	16018
83	1457	15888
84	1477	15907
85	1496	15901
86	1514	15891
87	1530	15865
88	1548	15855
89	1566	15839
90	1573	15719
91	1591	15705
92	1610	15708
93	1627	15690
94	1647	15693
95	1665	15685
96	1684	15681
97	1704	15684
98	1724	15696
99	1741	15673
100	1759	15664
101	1777	15645
102	1794	15631
103	1812	15616
104	1829	15597
105	1847	15578
106	1864	15561
107	1882	15545
108	1902	15550
109	1922	15555
110	1931	15466
111	1941	15391
112	1957	15365
113	1975	15354
114	1993	15340
115	2011	15326
116	2029	15318
117	2046	15299
118	2063	15276
119	2084	15287
120	2103	15278
121	2121	15265
122	2138	15250
123	2155	15230
124	2172	15210
125	2192	15205
126	2211	15203
127	2228	15184
128	2246	15165
129	2263	15145
130	2280	15126
131	2301	15133
132	2319	15123
133	2336	15102
134	2353	15079
135	2371	15063
136	2388	15047
137	2406	15032
138	2423	15009
139	2440	14991
140	2458	14975
141	2475	14958
142	2492	14940
143	2511	14930
144	2530	14921
145	2548	14905
146	2567	14896
147	2586	14889
148	2604	14878
149	2623	14866
150	2642	14856
151	2660	14840
152	2677	14822
153	2697	14816
154	2721	14834
155	2744	14849
156	2762	14832
157	2783	14833
158	2793	14776
159	2811	14762
160	2831	14754
161	2850	14742
162	2869	14736
163	2887	14719
164	2897	14664
165	2915	14649
166	2936	14647
167	2958	14653
168	2976	14637
169	2996	14629
170	3014	14615
171	3031	14595
172	3043	14549
173	3060	14528
174	3078	14511
175	3098	14505
176	3115	14483
177	3133	14472
178	3153	14462
179	3160	14399
180	3176	14375
181	3195	14363
182	3213	14348
183	3232	14335
184	3240	14275
185	3249	14222
186	3266	14200
187	3283	14181
188	3303	14175
189	3320	14157
190	3335	14129
191	3354	14118
192	3372	14101
193	3392	14095
194	3410	14080
195	3430	14073
196	3451	14067
197	3460	14015
198	3477	13998
199	3498	13992
200	3516	13979
201	3538	13979
202	3559	13973
203	3577	13958
204	3594	13941
205	3611	13921
206	3631	13912
207	3648	13894
208	3665	13873
209	3685	13866
210	3703	13849
211	3720	13830
212	3740	13821
213	3761	13814
214	3779	13798
215	3798	13786
216	3816	13770
217	3834	13756
218	3854	13746
219	3873	13733
220	3893	13724
221	3922	13746
222	3965	13818
223	4018	13920
224	4068	14012
225	4112	14083
226	4133	14077
227	4151	14056
228	4170	14041
229	4191	14032
230	4208	14011
231	4226	13991
232	4243	13969
233	4261	13949
234	4278	13929
235	4297	13910
236	4316	13897
237	4334	13878
238	4354	13864
239	4373	13850
240	4394	13839
241	4411	13816
242	4427	13794
243	4446	13778
244	4463	13756
245	4482	13737
246	4501	13722
247	4519	13703
248	4545	13710
249	4571	13714
250	4603	13735
251	4634	13757
252	4665	13776
253	4685	13761
254	4709	13758
255	4734	13760
256	4753	13742
257	4771	13722
258	4788	13699
259	4807	13682
260	4828	13670
261	4847	13655
262	4864	13630
263	4881	13608
264	4900	13591
265	4919	13574
266	4939	13560
267	4958	13543
268	4976	13522
269	4995	13505
270	5013	13486
271	5038	13484
272	5057	13466
273	5075	13448
274	5092	13426
275	5112	13412
276	5131	13393
277	5151	13378
278	5168	13357
279	5190	13346
280	5208	13327
281	5226	13306
282	5247	13295
283	5265	13276
284	5282	13252
285	5299	13231
286	5318	13212
287	5335	13190
288	5354	13173
289	5372	13154
290	5391	13135
291	5412	13123
292	5433	13110
293	5452	13093
294	5473	13080
295	5492	13064
296	5513	13050
297	5531	13030
298	5551	13015
299	5569	12996
300	5587	12975
301	5604	12953
302	5622	12933
303	5643	12920
304	5661	12900
305	5678	12878
306	5698	12862
307	5715	12841
308	5732	12819
309	5749	12798
310	5768	12779
311	5787	12762
312	5806	12745
313	5824	12724
314	5847	12715
315	5868	12702
316	5892	12694
317	5915	12685
318	5937	12674
319	5957	12658
320	5978	12645
321	6000	12634
322	6024	12626
323	6046	12616
324	6071	12609
325	6092	12597
326	6113	12581
327	6135	12570
328	6158	12560
329	6181	12549
330	6202	12537
331	6224	12523
332	6244	12508
333	6266	12496
334	6286	12478
335	6306	12463
336	6326	12446
337	6348	12433
338	6368	12417
339	6388	12401
340	6409	12386
341	6430	12372
342	6450	12356
343	6472	12343
344	6494	12330
345	6517	12319
346	6537	12302
347	6559	12289
348	6580	12274
349	6600	12257
350	6619	12239
351	6636	12216
352	6656	12200
353	6680	12190
354	6703	12179
355	6727	12169
356	6747	12153
357	6769	12139
358	6789	12121
359	6811	12110
360	6833	12096
361	6854	12080
362	6876	12067
363	6899	12055
364	6920	12040
365	6944	12029
366	6966	12015
367	6986	11998
368	7009	11986
369	7031	11972
370	7051	11954
371	7074	11942
372	7096	11929
373	7116	11912
374	7139	11899
375	7159	11882
376	7181	11867
377	7200	11848
378	7223	11835
379	7245	11821
380	7264	11803
381	7286	11788
382	7306	11770
383	7328	11756
384	7348	11738
385	7372	11727
386	7394	11713
387	7414	11695
388	7436	11680
389	7457	11663
390	7478	11648
391	7498	11629
392	7520	11615
393	7542	11601
394	7565	11587
395	7588	11574
396	7610	11559
397	7630	11541
398	7653	11527
399	7672	11509
400	7693	11492
401	7715	11477
402	7738	11463
403	7761	11450
404	7785	11437
405	7806	11420
406	7826	11402
407	7847	11387
408	7869	11371
409	7891	11356
410	7912	11339
411	7934	11323
412	7956	11308
413	7977	11291
414	8000	11277
415	8022	11261
416	8039	11240
417	8057	11218
418	8075	11197
419	8093	11177
420	8112	11157
421	8134	11140
422	8157	11126
423	8177	11109
424	8198	11092
425	8220	11076
426	8241	11059
427	8263	11043
428	8283	11025
429	8304	11008
430	8327	10994
431	8346	10974
432	8364	10953
433	8386	10937
434	8409	10922
435	8429	10904
436	8451	10888
437	8472	10870
438	8493	10853
439	8514	10836
440	8535	10819
441	8558	10804
442	8579	10787
443	8600	10769
444	8624	10756
