letter;black weight;normal black weight;weight center x;weight center y;normal weight center x;normal weight center y;inert axis x;inert axis y;normal inert axis x;normal inert axis y
A;2111.694;0.845;22.843;24.010;0.446;0.470;497198.785;448126.449;99.440;89.625
B;2033.922;0.814;22.963;23.944;0.448;0.468;484847.168;443850.494;96.969;88.770
C;2207.506;0.883;23.823;24.597;0.466;0.482;498196.558;469773.132;99.639;93.955
D;2068.988;0.828;23.099;23.607;0.451;0.461;464108.923;444678.419;92.822;88.936
E;2161.361;0.865;23.728;24.675;0.464;0.483;504017.613;471937.300;100.804;94.387
F;2185.961;0.874;23.937;24.754;0.468;0.485;506094.459;484062.519;101.219;96.813
G;2103.482;0.841;23.158;23.847;0.452;0.466;472414.830;446330.291;94.483;89.266
H;2077.992;0.831;22.994;23.575;0.449;0.461;463255.113;456636.809;92.651;91.327
I;2275.569;0.910;23.951;24.037;0.468;0.470;513530.698;483747.930;102.706;96.750
J;2286.275;0.915;23.976;23.633;0.469;0.462;498434.594;486822.288;99.687;97.364
K;2103.353;0.841;23.039;24.428;0.450;0.478;499315.214;452116.465;99.863;90.423
L;2306.875;0.923;23.748;24.977;0.464;0.489;511192.105;481291.667;102.238;96.258
M;1946.204;0.778;22.784;22.467;0.445;0.438;410336.046;446644.147;82.067;89.329
N;2007.631;0.803;22.662;23.436;0.442;0.458;463595.499;437900.431;92.719;87.580
O;2072.918;0.829;23.162;23.396;0.452;0.457;448978.280;447890.169;89.796;89.578
P;2127.741;0.851;23.708;24.464;0.463;0.479;499037.644;478582.877;99.808;95.717
Q;2073.486;0.829;23.166;23.402;0.452;0.457;449234.296;448079.457;89.847;89.616
R;2055.906;0.822;23.035;24.138;0.450;0.472;491783.673;448405.063;98.357;89.681
S;2161.251;0.865;23.589;24.189;0.461;0.473;498733.546;466740.046;99.747;93.348
T;2222.212;0.889;24.271;24.227;0.475;0.474;509389.197;485992.692;101.878;97.199
U;2137.427;0.855;23.147;23.815;0.452;0.466;470721.307;455042.946;94.144;91.009
V;2148.741;0.859;23.339;24.109;0.456;0.472;494639.717;464881.261;98.928;92.976
W;1896.043;0.758;22.103;23.458;0.431;0.458;416386.536;416593.024;83.277;83.319
X;2135.996;0.854;23.239;24.130;0.454;0.472;501172.406;457927.865;100.234;91.586
Y;2214.945;0.886;23.929;24.260;0.468;0.475;506720.087;488643.832;101.344;97.729
Z;2204.902;0.882;23.886;24.281;0.467;0.475;506635.391;471312.593;101.327;94.263
